perf/mse,time-step
0.0012869451,773.0
,
0.0013297705,774.0
,
0.0014186993,775.0
,
0.0014338037,776.0
,
0.0015006268,777.0
,
0.0014273908,778.0
,
0.0014415398,779.0
,
0.0014662341,780.0
,
0.0014124663,781.0
,
0.0013342763,782.0
,
0.0012971035,783.0
,
0.0013647781,784.0
,
0.0012315961,785.0
,
0.0013444985,786.0
,
0.0013571052,787.0
,
0.0015096015,788.0
,
0.0015455248,789.0
,
0.00158327,790.0
,
0.0016062756,791.0
,
0.001755878,792.0
,
0.0018160173,793.0
,
0.001725144,794.0
,
0.0018430974,795.0
,
0.001736924,796.0
,
0.0017135529,797.0
,
0.0015935239,798.0
,
0.0015165628,799.0
,
0.001427565,800.0
,
0.0014683085,801.0
,
0.0013958691,802.0
,
0.0013081672,803.0
,
0.0013625949,804.0
,
0.001324336,805.0
,
0.0013276704,806.0
,
0.001321068,807.0
,
0.001273401,808.0
,
0.0013072513,809.0
,
0.001314732,810.0
,
0.0012413089,811.0
,
0.0011837102,812.0
,
0.0011893586,813.0
,
0.0011229325,814.0
,
0.0010628313,815.0
,
0.0010642329,816.0
,
0.0010910208,817.0
,
0.0011212986,818.0
,
0.0011733446,819.0
,
0.0012428403,820.0
,
0.001248314,821.0
,
0.0012810953,822.0
,
0.0013508647,823.0
,
0.0013772693,824.0
,
0.0013980384,825.0
,
0.00138821,826.0
,
0.0013410014,827.0
,
0.0013588734,828.0
,
0.001329851,829.0
,
0.0012443231,830.0
,
0.0012349149,831.0
,
0.0012319392,832.0
,
0.0011614606,833.0
,
0.0011276733,834.0
,
0.0010807078,835.0
,
0.0010470602,836.0
,
0.0010900875,837.0
,
0.0010210907,838.0
,
0.00096073514,839.0
,
0.0009749979,840.0
,
0.000950004,841.0
,
0.00090250437,842.0
,
0.0008825554,843.0
,
0.00088453403,844.0
,
0.00088095694,845.0
,
0.00094369927,846.0
,
0.00089537894,847.0
,
0.0009072519,848.0
,
0.00090577395,849.0
,
0.00087266986,850.0
,
0.0008591614,851.0
,
0.0008527847,852.0
,
0.0008234946,853.0
,
0.000811027,854.0
,
0.0007940723,855.0
,
0.0007123447,856.0
,
0.0007456819,857.0
,
0.0007648327,858.0
,
0.00075889734,859.0
,
0.00075010036,860.0
,
0.00075250247,861.0
,
0.00079283176,862.0
,
0.00079905073,863.0
,
0.00083459896,864.0
,
0.0008675875,865.0
,
0.00089134945,866.0
,
0.0008580085,867.0
,
0.0008368505,868.0
,
0.0008652442,869.0
,
0.000889382,870.0
,
0.0009333716,871.0
,
0.00090401433,872.0
,
0.0009614569,873.0
,
0.00094830774,874.0
,
0.0009295023,875.0
,
0.0009667568,876.0
,
0.0010561368,877.0
,
0.0011167463,878.0
,
0.0010872628,879.0
,
0.0010925243,880.0
,
0.0010628749,881.0
,
0.0011242713,882.0
,
0.0010577763,883.0
,
0.0010546888,884.0
,
0.0010812151,885.0
,
0.0010511944,886.0
,
0.0009707517,887.0
,
0.0009104345,888.0
,
0.0009550046,889.0
,
0.0009679996,890.0
,
0.0009916811,891.0
,
0.0009463288,892.0
,
0.0009712934,893.0
,
0.0009714325,894.0
,
0.00095690443,895.0
,
0.00092052575,896.0
,
0.00091311504,897.0
,
0.00096675847,898.0
,
0.0009459886,899.0
,
0.0009249424,900.0
,
0.0008659684,901.0
,
0.00087528676,902.0
,
0.0008926176,903.0
,
0.0008806799,904.0
,
0.0009170914,905.0
,
0.000926555,906.0
,
0.0009437663,907.0
,
0.00088814646,908.0
,
0.0008562465,909.0
,
0.0008396214,910.0
,
0.0008597195,911.0
,
0.0008533724,912.0
,
0.0008084908,913.0
,
0.0007821477,914.0
,
0.0007664033,915.0
,
0.00075741246,916.0
,
0.0007603846,917.0
,
0.00076967257,918.0
,
0.0008119568,919.0
,
0.00080182095,920.0
,
0.00081231864,921.0
,
0.0008213698,922.0
,
0.00084424485,923.0
,
0.0008768731,924.0
,
0.00085797894,925.0
,
0.0008982549,926.0
,
0.0008574022,927.0
,
0.00083125883,928.0
,
0.0007904358,929.0
,
0.000884543,930.0
,
0.0008903014,931.0
,
0.00090680167,932.0
,
0.0008860087,933.0
,
0.00088993553,934.0
,
0.0009092687,935.0
,
0.00093270215,936.0
,
0.0010453409,937.0
,
0.0010436832,938.0
,
0.0010768556,939.0
,
0.0011166579,940.0
,
0.0011120068,941.0
,
0.0010790712,942.0
,
0.0010900488,943.0
,
0.0010846038,944.0
,
0.0010881622,945.0
,
0.0010369209,946.0
,
0.000958197,947.0
,
0.0009943258,948.0
,
0.00095832284,949.0
,
0.00089429447,950.0
,
0.0008669936,951.0
,
0.00088033994,952.0
,
0.00090450404,953.0
,
0.0009026959,954.0
,
0.0009001582,955.0
,
0.0009041087,956.0
,
0.0009324748,957.0
,
0.0009592011,958.0
,
0.0009986355,959.0
,
0.0010354888,960.0
,
0.0010847688,961.0
,
0.0012233548,962.0
,
0.0012245846,963.0
,
0.0012466544,964.0
,
0.0012322072,965.0
,
0.001287719,966.0
,
0.0013349492,967.0
,
0.0012873553,968.0
,
0.0012826284,969.0
,
0.0012041006,970.0
,
0.0012921549,971.0
,
0.0011927082,972.0
,
0.001251634,973.0
,
0.0012371795,974.0
,
0.0012494758,975.0
,
0.0011932516,976.0
,
0.001124379,977.0
,
0.0011223556,978.0
,
0.0011355677,979.0
,
0.0011295741,980.0
,
0.0010005261,981.0
,
0.0010080469,982.0
,
0.0009275223,983.0
,
0.0009599176,984.0
,
0.0009332071,985.0
,
0.00094071275,986.0
,
0.0009337614,987.0
,
0.0009953778,988.0
,
0.00097034377,989.0
,
0.0009424101,990.0
,
0.0010057773,991.0
,
0.0009446338,992.0
,
0.0010100038,993.0
,
0.0010010041,994.0
,
0.0010454252,995.0
,
0.001104085,996.0
,
0.0012256686,997.0
,
0.001233397,998.0
,
0.0013019892,999.0
,
